tid	type	title	original	isadult	year	ended	runtime	genres
60366	short	A Embalagem de Vidro	A Embalagem de Vidro	0	2020		11	Documentary,Short
62336	movie	El tango del viudo y su espejo deformante	El tango del viudo y su espejo deformante	0	2020		70	Drama
120589	movie	Arigo	Arigo	0	2020			Drama
319595	short	Stella's Journey	Stella's Journey	0	2020		25	Short
360318	tvSeries	Who Wants to Be a Millionaire	Who Wants to Be a Millionaire	0	2020			Game-Show
368133	movie	The Promise of Perfume	The Promise of Perfume	0	2020		57	Documentary
383477	movie	Love & Orgasms	Love & Orgasms	0	2020		82	Drama
425118	tvMiniSeries	I Know This Much Is True	I Know This Much Is True	0	2020		60	Drama
446792	movie	Surviving in L.A.	Surviving in L.A.	0	2020			Comedy,Drama,Romance
451272	movie	Nefarious	Nefarious	0	2020		85	Crime,Thriller
476791	movie	Anywhere Anytime	Kabhi Bhi Kahin Bhi	0	2020			Drama,Romance,Thriller
499097	movie	Tom Clancy's Without Remorse	Without Remorse	0	2020			Action,Adventure,Crime
804484	tvSeries	Foundation	Foundation	0	2020			Sci-Fi
805647	movie	The Witches	The Witches	0	2020			Adventure,Comedy,Family
849437	movie	Duel of Legends	Duel of Legends	0	2020			Action,Drama,Sport
926132	movie	Road to Red	Road to Red	0	2020		120	Action,Adventure,Horror
983946	movie	Fantasy Island	Fantasy Island	0	2020		109	Adventure,Fantasy,Horror
1020581	movie	The Method	The Method	0	2020			Drama,Mystery,Romance
1051906	movie	The Invisible Man	The Invisible Man	0	2020		124	Horror,Mystery,Sci-Fi
1070874	movie	The Trial of the Chicago 7	The Trial of the Chicago 7	0	2020			Drama,History,Thriller
1083463	movie	Marilyn Monroe: Murder on Fifth Helena Drive	Marilyn Monroe: Murder on Fifth Helena Drive	0	2020			Documentary
1086064	movie	Bill & Ted Face the Music	Bill & Ted Face the Music	0	2020			Comedy,Music,Sci-Fi
1160419	movie	Dune	Dune	0	2020			Adventure,Drama,Sci-Fi
1198074	movie	The Family Remains	The Family Remains	0	2020			Comedy,Drama
1266036	movie	Valley Girl	Valley Girl	0	2020		102	Comedy,Musical,Romance
1300856	movie	Lunar Effect	Lunar Effect	0	2020			Horror,Thriller
1342132	tvSeries	The Adventures of Velvet Prozak	The Adventures of Velvet Prozak	0	2020			Comedy
1361336	movie	Tom and Jerry	Tom and Jerry	0	2020			Adventure,Animation,Comedy
1369571	movie	I Am Fear	I Am Fear	0	2020		87	Horror,Thriller,War
1385479	movie	Assembly of Dreams	Assembly of Dreams	0	2020			Drama,Horror
1427931	movie	Peanut and Bang	Peanut and Bang	0	2020		80	Animation,Comedy
1441950	movie	Pressure	Pressure	0	2020		90	Drama
1468755	movie	Wrestling with Faith	Wrestling with Faith	0	2020			Biography,Documentary
1483007	movie	Killing Angels	Killing Angels	0	2020			Action,Crime,Drama
1502397	movie	Bad Boys for Life	Bad Boys for Life	0	2020		124	Action,Comedy,Crime
1520421	movie	The Green Goddess	The Green Goddess	0	2020			Adventure,Comedy
1521198	movie	DeLorean - Living the Dream	DeLorean - Living the Dream	0	2020		81	Biography,Documentary,History
1524931	movie	American Street Kid	American Street Kid	0	2020		104	Documentary,Drama
1532495	tvSeries	Rust	Rust	0	2020			Drama
1541002	movie	Van Gogh	Van Gogh	0	2020			Biography
1545304	movie	Desperados	Desperados	0	2020		105	Comedy
1549022	movie	To the Mountains	To the Mountains	0	2020			Documentary
1552211	movie	The Last Days of American Crime	The Last Days of American Crime	0	2020		148	Action,Adventure,Crime
1562571	movie	SK13	SK13	0	2020			Documentary
1568898	movie	The Negotiation	The Negotiation	0	2020		80	Horror,Thriller
1578273	video	Adnan Sami: Tu Yaad Aya	Adnan Sami: Tu Yaad Aya	0	2020		5	Animation,Music,Short
1592253	movie	Dante's Hell	Dante's Hell	0	2020			Adventure,Drama,Family
1592581	movie	Little Tornadoes	Little Tornadoes	0	2020		90	Drama
1595654	movie	Anita	Anita	0	2020			Biography
1622587	video	Boxes	Boxes	0	2020		88	Comedy,Drama
1634106	movie	Bloodshot	Bloodshot	0	2020		109	Action,Drama,Sci-Fi
1656177	movie	Most Wanted	Target Number One	0	2020		135	Biography,Crime,Thriller
1691857	short	Intermezzo Number 1: A Short Portrait of Carey Beebe	Intermezzo Number 1: A Short Portrait of Carey Beebe	0	2020		4	Documentary,Short
1697800	movie	Die in a Gunfight	Die in a Gunfight	0	2020			Action,Drama,Romance
1701176	movie	The Girl in the Mirror	The Girl in the Mirror	0	2020		101	Horror,Thriller
1715344	movie	Adam	Quad	0	2020		100	Drama
1739293	movie	The Rock Pile	The Rock Pile	0	2020			Drama
1745960	movie	Top Gun: Maverick	Top Gun: Maverick	0	2020			Action,Drama
1764494	movie	Miracle Underground	Miracle Underground	0	2020		90	Drama
1773659	short	Shadows	Shadows	0	2020		23	Action,Drama,Short
1817232	movie	Phineas and Ferb the Movie: Candace Against the Universe	Phineas and Ferb the Movie: Candace Against the Universe	0	2020			Adventure,Animation,Comedy
1825971	movie	Surviving Burkitts	Surviving Burkitts	0	2020		48	Documentary
1831804	tvSeries	The Stand	The Stand	0	2020			Adventure,Drama,Fantasy
1836895	movie	Rana	Rana	0	2020			Action,Drama,History
1838556	movie	Honest Thief	Honest Thief	0	2020		92	Action,Crime,Drama
1848913	movie	Goy	Goy	0	2020		80	Drama,Thriller
1852746	movie	Brutality	Brutality	0	2020			Horror
1859618	movie	1	1	0	2020		100	Drama
1904949	short	Let's Go	Let's Go	0	2020		11	Drama,Short
1910645	tvMiniSeries	The Woods	The Woods	0	2020			Drama,Mystery,Thriller
1929297	movie	Last Moment of Clarity	Last Moment of Clarity	0	2020		90	Thriller
1948196	movie	Torpor Revisitado	Torpor Revisitado	0	2020		20	Mystery
1949524	movie	Captain Happy Sun	Captain Happy Sun	0	2020		97	Comedy
1964995	movie	Penance Lane	Penance Lane	0	2020		84	Horror
1969147	movie	The Field: A Fight or Flight Story	The Field: A Fight or Flight Story	0	2020		70	Documentary,Drama,News
1986097	movie	Payne & Redemption	Payne & Redemption	0	2020		120	Action,Crime,Drama
2006291	movie	The Embryo Who Came in from the Cold	The Embryo Who Came in from the Cold	0	2020		90	Adventure,Animation,Comedy
2057487	movie	The Norwegian	The Norwegian	0	2020			Adventure,Comedy,Drama
2061827	movie	The Murders of Cane Hill	The Murders of Cane Hill	0	2020			Horror,Thriller
2077823	tvSeries	Perry Mason	Perry Mason	0	2020			Crime,Drama
2094955	movie	Terapia do Medo	Terapia do Medo	0	2020			Horror,Mystery,Thriller
2124780	movie	The Lost Pearls	The Lost Pearls	0	2020			Crime,Documentary,News
2140663	tvSeries	When the Streetlights Go On	When the Street Lights Go On	0	2020			Drama,Short
2165000	movie	Down Squad	Down Squad	0	2020			Action,Adventure,Comedy
2177268	tvSeries	Clarice	Clarice	0	2020		60	Crime,Drama,Mystery
2180339	movie	Deep Water	Deep Water	0	2020			Thriller
2180583	movie	Unbelievable!!!!!	Unbelievable!!!!!	0	2020		105	Comedy,Sci-Fi
2197936	movie	Fatima	Fatima	0	2020		113	Drama
2200060	movie	The Misunderstanding	Nesporazum	0	2020		83	Drama,Romance
2210955	movie	The Colour of Spring	The Colour of Spring	0	2020		100	Romance,Thriller
2215169	short	Little Jack Rawlins	Little Jack Rawlins	0	2020			Horror,Short,Thriller
2218324	movie	The Unbreakable Sword	The Unbreakable Sword	0	2020		90	Adventure
2222052	movie	My Salinger Year	My Salinger Year	0	2020		101	Drama
2231058	movie	By Deception	By Deception	0	2020			Thriller
2235372	movie	Son of the South	Son of the South	0	2020			Biography,Drama
2235695	movie	Rebecca	Rebecca	0	2020			Drama,Mystery,Romance
2235759	tvSeries	The Great	The Great	0	2020			Biography,Comedy,Drama
2248980	movie	Cicero	Cicero	0	2020			Documentary
2258724	movie	The Perfect Pickup	The Perfect Pickup	0	2020		98	Comedy
2267554	movie	The Wanting Mare	The Wanting Mare	0	2020			
2271383	short	Immortal Infection	Immortal Infection	0	2020		26	Horror,Short,Thriller
2287759	movie	Gwapa	Gwapa	0	2020		76	Documentary
2288360	movie	O Que os Olhos Não Vêem	O Que os Olhos Não Vêem	0	2020			Fantasy,Horror
2294256	movie	Slashed	Slashed	0	2020			Horror
2304589	tvMiniSeries	Defending Jacob	Defending Jacob	0	2020	2020	45	Crime,Drama,Mystery
2311862	movie	Connected	Connected	0	2020			Crime,Drama
2312748	movie	The Scheme of Things	The Scheme of Things	0	2020		96	Action,Adventure,Drama
2315938	movie	Hopewell	Hopewell	0	2020			Thriller
2323912	movie	Beast Mode	Beast Mode	0	2020		87	Comedy,Horror
2327575	movie	The Love You Save: The Michael Jackson Story	The Love You Save: The Michael Jackson Story	0	2020		90	Biography,Documentary,News
2328678	movie	The King's Daughter	The King's Daughter	0	2020			Action,Adventure,Fantasy
2328772	movie	Apollyon	Apollyon	0	2020			Drama,Horror,Mystery
2348330	movie	Crazed Intent	Crazed Intent	0	2020		75	Drama,Horror,Thriller
2353048	movie	A Father and His Icon	A Father and His Icon	0	2020			Documentary
2357423	movie	THE PREY: Legend of Karnoctus	THE PREY: Legend of Karnoctus	0	2020		90	Action,Sci-Fi,Thriller
2359063	movie	Foxy	Foxy	0	2020			Biography
2366129	movie	Eli Moran	Eli Moran	0	2020			Drama,Sport
2367282	tvSeries	God Fearing Man	God Fearing Man	0	2020			Drama
2368853	movie	For All That We Are	For All That We Are	0	2020		91	Drama,Romance
2374839	movie	Big Girl	Big Girl	0	2020			Comedy,Horror
2378840	movie	The Lost Thoughts of Midnight	The Lost Thoughts of Midnight	0	2020		80	Mystery
2382320	movie	No Time to Die	No Time to Die	0	2020		163	Action,Adventure,Thriller
2387517	movie	Made in France	Made in France	0	2020			Romance
2392038	movie	The Guns Story	The Guns Story	0	2020		90	Biography,Documentary,Music
2393212	movie	The Owl in Echo Park	The Owl in Echo Park	0	2020			Crime,Drama
2397461	movie	Clifford the Big Red Dog	Clifford the Big Red Dog	0	2020			Adventure,Animation,Comedy
2400305	movie	Captured	Captured	0	2020			Horror,Thriller
2400447	movie	Tell Me I Love You	Tell Me I Love You	0	2020			Comedy,Romance
2404379	tvSeries	Space Command	Space Command	0	2020			Adventure,Sci-Fi
2420124	movie	Wendy	Wendy	0	2020		111	Drama,Fantasy
2448022	movie	The Golden Age	The Golden Age	0	2020		102	Musical
2452150	movie	Respect	Respect	0	2020			Biography,Drama,Music
2456492	movie	Window Boy Would also Like to Have a Submarine	Window Boy Would Also Like to Have a Submarine	0	2020		110	Comedy,Fantasy,Romance
2478478	movie	Dreams of Darkness	Dreams of Darkness	0	2020		81	Horror,Thriller
2484532	movie	Mists of Memory	Mists of Memory	0	2020			Drama
2501754	short	Gubbare	Gubbare	0	2020		10	Drama,Short
2556998	movie	Hurricane Chasers	Hurricane Chasers	0	2020		95	Action,Adventure,Family
2569046	tvSeries	Transplanted to Me	Transplanted to Me	0	2020			
2569202	movie	Significance	Significance	0	2020			Action,Adventure,Drama
2573372	movie	Becoming	Becoming	0	2020		98	Drama,Sci-Fi,Thriller
2574538	movie	Until We Meet Again	Until We Meet Again	0	2020			Romance
2575150	movie	Juke Box Hero	Juke Box Hero	0	2020		90	Drama
2610890	movie	Serpent in the Bottle	Serpent in the Bottle	0	2020		89	Drama
2619822	movie	Finding the Lost Child	Finding the Lost Child	0	2020			Drama,Mystery,Thriller
2622686	movie	One Dark Secret	One Dark Secret	0	2020			
2634732	movie	Hooked	Hooked	0	2020			Romance
2651164	movie	Skate God	Skate God	0	2020			Action,Fantasy,Sci-Fi
2702920	movie	The Secret Garden	The Secret Garden	0	2020		99	Drama,Family,Fantasy
2704444	movie	Jesus the Remake	Jesus the Remake	0	2020			Comedy,Drama
2705972	movie	Sk8r Grrl	Sk8r Grrl	0	2020			Fantasy
2708362	movie	The Execution of Nigel Harris	The Execution of Nigel Harris	0	2020			Drama
2711628	movie	Phantom Jesus :: Crucify Reality	Phantom Jesus :: Crucify Reality	0	2020		112	Drama
2717682	movie	Turner Risk	Turner Risk	0	2020		112	Drama,Thriller
2726408	movie	The Fourth Horseman	Keoma Rises	0	2020			Action,Western
2728986	movie	Sleight	Sleight	0	2020			Drama
2735988	videoGame	Frozen Colony	Frozen Colony	0	2020			Action,Adventure,Sci-Fi
2759098	movie	Corsi: The World's First Super Model	Corsi: The World's First Super Model	0	2020			Documentary
2766800	movie	Grainne Uaile: The Movie	Grainne Uaile: The Movie	0	2020		180	Action
2771512	movie	The Endless Flight	The Endless Flight	0	2020		95	Drama,Mystery,Thriller
2784114	movie	15 Minutes of Faye	15 Minutes of Faye	0	2020		94	Comedy
2786516	movie	Free for All: Inside the Public Library	Free for All: Inside the Public Library	0	2020			Documentary
2819446	movie	False Colors	False Colors	0	2020		122	Thriller
2831364	movie	Dale Archdale	Dale Archdale	0	2020			Comedy
2845854	movie	Torn Cloth	Torn Cloth	0	2020		73	Action,Documentary,History
2850386	movie	The Croods 2	The Croods 2	0	2020			Adventure,Animation,Comedy
2890616	movie	Acquitted by Faith	Acquitted by Faith	0	2020		84	Drama,Family
2892456	movie	Beach Cougar Gigolo	Beach Cougar Gigolo	0	2020			Action,Comedy
2896932	movie	Repeat Attenders	Repeat Attenders	0	2020		80	Documentary
2914056	movie	Desi Magic	Desi Magic	0	2020			Comedy,Romance
2914760	movie	Malibu Road	Malibu Road	0	2020		105	Mystery,Romance,Thriller
2918226	movie	Let Them Have Their Way	Let Them Have Their Way	0	2020		84	Comedy,Drama
2920776	movie	Gone in an Instant	Gone in an Instant	0	2020			Documentary
2935030	movie	My Name Is Heather	My Name Is Heather	0	2020		97	Drama,Thriller
2948372	movie	Soul	Soul	0	2020			Adventure,Animation,Comedy
2952782	movie	Souled Out: The Documentary	Souled Out: The Documentary	0	2020			Documentary
2980556	movie	Mr. Blue Shirt: The Inspiration	Mr. Blue Shirt: The Inspiration	0	2020			Adventure
2989692	movie	American Zombieland	Fat Ass Zombies	0	2020			Comedy
2993466	movie	Blood Curse II: Asmodeus Rises	Blood Curse II: Asmodeus Rises	0	2020			Horror
3007572	tvSeries	Locke & Key	Locke & Key	0	2020		48	Drama,Fantasy,Horror
3031654	movie	The Glance of Music	Ennio: The Maestro	0	2020		90	Biography,Documentary,Music
3037588	movie	My Senior Year	My Senior Year	0	2020		85	Comedy,Drama,Romance
3064876	movie	Pre's People	Pre's People	0	2020		14	Documentary,Sport
3066862	movie	Midsummer	Midsummer	0	2020			
3089630	movie	Artemis Fowl	Artemis Fowl	0	2020			Adventure,Family,Fantasy
3090180	movie	The Unfathomable Mr. Jones	The Unfathomable Mr. Jones	0	2020			Comedy
3097396	movie	What Josiah Saw	What Josiah Saw	0	2020			Horror,Thriller
3097828	movie	Back from the Edge of Life's Abyss	Back from the Edge of Life's Abyss	0	2020			Documentary
3100046	movie	Squad	Squad	0	2020			Action,Comedy,Drama
3104658	movie	Zombie Frat House	Zombie Frat House	0	2020		92	Horror
3107252	movie	Under ConTroll	Trolls World	0	2020		83	Comedy,Fantasy,Horror
3108448	movie	Soundtrack to Sixteen	Soundtrack to Sixteen	0	2020		85	Comedy,Romance
3111426	movie	Lost Girls	Lost Girls	0	2020		95	Drama,Mystery,Thriller
3114254	movie	The lady of the dead	The lady of the dead	0	2020		90	Horror
3128024	movie	Black Bishop	Black Bishop	0	2020		90	Action,Drama,Thriller
3145630	movie	Phobic	Phobic	0	2020		82	Mystery,Thriller
3152592	movie	Scoob!	Scoob!	0	2020		93	Adventure,Animation,Comedy
3159310	movie	Throw Like a Girl	Throw Like a Girl	0	2020			Documentary
3165210	movie	Darcy	Darcy	0	2020		92	Drama
3165282	movie	Killer Weekend	Killer Weekend	0	2020			Thriller
3178184	movie	Merrily	Merrily	0	2020			Drama
3179244	movie	Monsters of Mulberry Street	Monsters of Mulberry Street	0	2020			Crime
3196640	movie	Coffee in Winter	Coffee in Winter	0	2020		95	Drama,Romance
3209066	movie	One Planet	One Planet	0	2020			Documentary
3210678	movie	A Cloud So High	A Cloud So High	0	2020		113	Horror,Thriller
3212608	movie	Algorithm: BLISS	Algorithm: BLISS	0	2020		99	Horror,Romance,Sci-Fi
3215252	movie	The Rise of the Tiger	The Rise of the Tiger	0	2020			Action,Biography,Crime
3215824	movie	Those Who Wish Me Dead	Those Who Wish Me Dead	0	2020			Thriller
3223318	movie	Pigeon Kings	Pigeon Kings	0	2020		81	Documentary
3228862	movie	Naked Hustle	Naked Hustle	0	2020			Documentary
3238924	movie	The Fort	The Fort	0	2020		70	Drama,War
3241168	movie	Becoming a Hero	Becoming a Hero	0	2020			Drama
3253606	movie	A DocumenTree	A DocumenTree	0	2020			Documentary
3254898	short	In Extremis	In Extremis	0	2020		7	Short,Thriller
3257300	movie	Ursus	Ursus	0	2020			Drama
3260524	movie	A Secret Love	A Secret Love	0	2020		81	Documentary
3262492	movie	Stale Ramen	Stale Ramen	0	2020			Adventure
3264468	short	Rise of the Unforgiven	Rise of the Unforgiven	0	2020			Horror,Short,Thriller
